Name,Sigma,Kernel Size,Activator,Batch Size,Domain,Channels,Total runtime (seconds),Total runtime (minutes),Best Validation PSNR,Final Validation PSNR,Final Validation SSIM,Final Validation RMSE,Final Validation MAE,Final Validation MSE,Final Set12 PSNR,Final Set12 SSIM,Final Set12 RMSE,Final Set12 MAE,Final Set12 MSE
sigma25_k5_actleakyrelu_bs32_image,25,5,leakyrelu,32,image,1,3154.06,52.57,29.0739,29.073868202767528,0.8288676599485935,0.03786718748508383,0.025912626892985666,0.0014339238880304893,30.162982489778088,0.8542432611022107,0.03148985334226979,0.022051891467223566,0.0009916108635176595
sigma25_k5_actleakyrelu_bs32_fourier_complex,25,5,leakyrelu,32,fourier_complex,2,3245.27,54.09,44.4617,44.46169819141529,0.981752703584326,0.006074496360342951,0.004003999494564007,3.689950603181976e-05,44.187849287851954,0.9812787883214883,0.00635044721614495,0.004065536117802064,4.0328179845043145e-05
sigma25_k5_actleakyrelu_bs64_image,25,5,leakyrelu,64,image,1,3087.94,51.47,28.8125,28.812450554406922,0.8157584641972628,0.038822236981127696,0.02700949667076416,0.0015071660842188388,29.734882248652625,0.8384988776070516,0.03302818424798227,0.02340651225919525,0.0010908609547186643
sigma25_k5_actleakyrelu_bs64_fourier_complex,25,5,leakyrelu,64,fourier_complex,2,3130.62,52.18,47.6834,47.68336076965381,0.9951140020704675,0.004379429564736097,0.002240945997661637,1.9179403312484603e-05,47.15450598821787,0.9943044672083707,0.004775293158628355,0.0023307603357049325,2.2803424750842776e-05
sigma50_k3_actrelu_bs8_image,50,3,relu,8,image,1,1799.76,30.0,26.0361,26.036052729640172,0.7035989853268277,0.054049892780388326,0.036595000638900435,0.0029213909095714744,26.876056229600476,0.7647605228038462,0.04612809696986891,0.031554189355423055,0.0021278013300616294
sigma50_k3_actrelu_bs8_fourier_complex,50,3,relu,8,fourier_complex,2,1876.12,31.27,44.4071,44.407096952685485,0.9863756315476835,0.006139465545948111,0.0036851449746309836,3.769303718988393e-05,44.60817346584053,0.986314457898905,0.006099487778695128,0.0036600508028641343,3.7203751162451226e-05
sigma50_k3_actrelu_bs16_image,50,3,relu,16,image,1,1735.54,28.93,26.1525,26.152505291591556,0.7147698965054515,0.05355221637477748,0.03607040210900938,0.002867839878650985,26.99865302962628,0.7730056330619366,0.04548449918940784,0.030945354451735813,0.0020688396665112427
sigma50_k3_actrelu_bs16_fourier_complex,50,3,relu,16,fourier_complex,2,1780.21,29.67,44.0064,44.00636596004114,0.9864009360894379,0.006401812964044706,0.00430942716775462,4.098320922661087e-05,44.06750605066682,0.9851936987442511,0.00643877004429431,0.004385273205116391,4.145775968330175e-05
sigma50_k3_actrelu_bs32_image,50,3,relu,32,image,1,1694.4,28.24,26.0861,26.08607170753839,0.7103604346136739,0.053899046365957305,0.03634024445679696,0.002905107199159615,26.87732655438904,0.7663419649383334,0.046131741316729195,0.031540125608444214,0.0021281375569136194
sigma50_k3_actrelu_bs32_fourier_complex,50,3,relu,32,fourier_complex,2,1747.31,29.12,43.6064,43.60641524171079,0.9817459608625903,0.006692152961300206,0.004321496402981746,4.478491125743911e-05,43.437670340376236,0.9806456889244758,0.006944077326703409,0.004333915111298363,4.822020991923637e-05
sigma50_k3_actrelu_bs64_image,50,3,relu,64,image,1,1733.17,28.89,25.9459,25.94591282533868,0.6949131059794894,0.054710195546628294,0.03708064472576713,0.0029932054967503063,26.630878147985282,0.7509331951046563,0.04747131752356063,0.032519845136751734,0.0022535259874227145
sigma50_k3_actrelu_bs64_fourier_complex,50,3,relu,64,fourier_complex,2,1765.96,29.43,43.5281,43.52811623120302,0.9819893561939348,0.006756455105784307,0.004492736907730646,4.564968559647883e-05,43.323568781247054,0.9810286914767358,0.00704409439979726,0.004464849946089089,4.961926591325513e-05
sigma50_k3_actleakyrelu_bs8_image,50,3,leakyrelu,8,image,1,1797.45,29.96,26.1692,26.16924269029288,0.7150745941541645,0.05346713262436427,0.03598647134597687,0.002858734271071358,26.972858714347808,0.7714080192842748,0.04560303583282403,0.0310704472164313,0.0020796368771698326
sigma50_k3_actleakyrelu_bs8_fourier_complex,50,3,leakyrelu,8,fourier_complex,2,1860.82,31.01,44.5235,44.52351158226128,0.9857026411611405,0.00609135399144482,0.0036354908918249697,3.710459344909075e-05,44.81677456963806,0.9867648459027453,0.005958314100829541,0.003562514903023839,3.5501506924144145e-05
sigma50_k3_actleakyrelu_bs16_image,50,3,leakyrelu,16,image,1,1719.8,28.66,26.1688,26.16881147480684,0.7173915683114067,0.05346264612211099,0.035998332944205576,0.0028582545303780693,26.99675273539042,0.7726109510239931,0.04548402547532059,0.031033522449433804,0.002068796573439613
sigma50_k3_actleakyrelu_bs16_fourier_complex,50,3,leakyrelu,16,fourier_complex,2,1771.69,29.53,44.1294,44.12944236411131,0.9849944597823992,0.006316600471005651,0.0038993888096336055,3.989944151030881e-05,44.15405055515024,0.9838136586534801,0.006412813362057676,0.0039251610287465155,4.112417521658548e-05
sigma50_k3_actleakyrelu_bs32_image,50,3,leakyrelu,32,image,1,1696.42,28.27,26.1309,26.130893295457362,0.7127385472621883,0.05368634766449718,0.03608670452719226,0.0028822239255532622,26.92625383783165,0.7687835731777652,0.04588129510999821,0.031248993705958128,0.0021050932409707457
sigma50_k3_actleakyrelu_bs32_fourier_complex,50,3,leakyrelu,32,fourier_complex,2,1746.62,29.11,43.7513,43.75131514906712,0.9829272644858917,0.006612069944418547,0.004185264409684083,4.371946894988308e-05,43.37782232104888,0.982514605484546,0.007055724921965687,0.004205786157399416,4.97832541744477e-05
sigma50_k3_actleakyrelu_bs64_image,50,3,leakyrelu,64,image,1,1734.38,28.91,25.9837,25.98365074119661,0.699526442751206,0.054455364079398015,0.03688291415079113,0.0029653866770197913,26.707786184905547,0.7541250588838556,0.047049019947038646,0.032286866257588066,0.0022136102779768407
sigma50_k3_actleakyrelu_bs64_fourier_complex,50,3,leakyrelu,64,fourier_complex,2,1784.53,29.74,43.2871,43.28706793959872,0.9775659740582457,0.006935489111546897,0.004465464208110729,4.810100921638557e-05,42.950206356493176,0.9763090497570227,0.007356720058495307,0.004494012023011844,5.4121330019067195e-05
sigma50_k5_actrelu_bs8_image,50,5,relu,8,image,1,3343.03,55.72,25.9995,25.99947733155696,0.7142639832568043,0.054560207783668754,0.036395168315400094,0.0029768162733971085,26.847132740375894,0.7712923236948229,0.046369148574200054,0.0313387339313825,0.002150097939496239
sigma50_k5_actrelu_bs8_fourier_complex,50,5,relu,8,fourier_complex,2,3433.12,57.22,43.3688,43.3687825397994,0.9886258910123459,0.012638686700855018,0.004111037517706042,0.00015973640152236947,44.83435197010203,0.9897984846938627,0.0060113278180018905,0.003647843705645452,3.613606213548337e-05
sigma50_k5_actrelu_bs16_image,50,5,relu,16,image,1,3205.52,53.43,26.0122,26.012179854295397,0.7057713838967244,0.05419371886061332,0.0368035783415989,0.002936959163943196,26.799148551945944,0.7595237468722758,0.0464792281753889,0.031974771370490394,0.0021603186517798654
sigma50_k5_actrelu_bs16_fourier_complex,50,5,relu,16,fourier_complex,2,3243.89,54.06,42.2276,42.22763867031456,0.9846580552524936,0.016911507949870303,0.005329277311616084,0.0002859991011385265,43.14497097185963,0.9843080284665069,0.007116939446291816,0.005071368340092401,5.0650827082184456e-05
sigma50_k5_actrelu_bs32_image,50,5,relu,32,image,1,3179.54,52.99,25.8113,25.81125626909515,0.7037828740008648,0.055654775614589445,0.03690189455964548,0.0030974540487103,26.827834341919683,0.7606866924357539,0.04636595537377202,0.031780587043613195,0.0021498018177226186
sigma50_k5_actrelu_bs32_fourier_complex,50,5,relu,32,fourier_complex,2,3243.17,54.05,44.5631,44.56314527287982,0.9880944390548357,0.006039163629482829,0.0037054710829740062,3.647149734366822e-05,43.91558288069809,0.9868038705761726,0.006710256523195121,0.003912277810741216,4.502754260708267e-05
sigma50_k5_actrelu_bs64_image,50,5,relu,64,image,1,3076.71,51.28,25.9742,25.97419653757613,0.6988980712954126,0.0543998526479012,0.037097786375157094,0.002959343968113364,26.63795415023654,0.7469313220129429,0.04739272641853678,0.032783120249708496,0.002246070517382274
sigma50_k5_actrelu_bs64_fourier_complex,50,5,relu,64,fourier_complex,2,3117.07,51.95,42.5246,42.524559444374916,0.9680248424444239,0.010701273183112082,0.005104372051873189,0.0001145172477395938,42.602386194269435,0.9689883317908222,0.0076181914409681264,0.00498057766041408,5.803684083124002e-05
sigma50_k5_actleakyrelu_bs8_image,50,5,leakyrelu,8,image,1,3375.29,56.25,25.6031,25.60308356630563,0.7100071566457765,0.05768988314395564,0.036943050060311663,0.0033281226171632573,26.27265155215743,0.763070677622038,0.04965801405034537,0.03207509762917956,0.002465918359424298
sigma50_k5_actleakyrelu_bs8_fourier_complex,50,5,leakyrelu,8,fourier_complex,2,3456.39,57.61,44.6116,44.611576049454555,0.9858412381029924,0.0077422253432769695,0.0035077672732500907,5.994205326608019e-05,45.15876984723044,0.9875074464108399,0.005730372622232878,0.0034928662159169712,3.283717038963611e-05
